year,team,PRFa,PHRFa,PNHRFa
2008,Texas,1.049227947,1.080702119,1.016928876
2008,Toronto,0.986015492,1.029341083,0.982472513
2008,Washington,1.005820338,0.975178203,1.010200575
2009,Anaheim,0.993902984,1.018509525,0.990644289
2009,Arizona,1.072541135,1.030263569,1.045975193
2009,Atlanta,0.970475781,0.96277031,0.987116274
2009,Baltimore,1.023422041,1.101497416,0.991803844
2009,Boston,1.047580152,0.960387385,1.044973147
2009,Chicago Cubs,1.052015605,1.024389569,1.03251134
2009,Chicago Sox,1.036089307,1.125101543,0.995376468
2009,Cincinnati,1.009538039,1.105302188,0.980196783
2009,Cleveland,0.957099609,0.903580811,0.992141797
2009,Colorado,1.118787986,1.09744497,1.062851562
2009,Detroit,1.013847676,1.004511763,1.009257385
2009,Houston,0.975391367,1.041220769,0.970504229
2009,Kansas City,1.024334574,0.89894059,1.043154375
2009,Los Angeles,0.951357021,0.959951494,0.97312984
2009,Miami,1.032490996,1,1.024222509
2009,Milwaukee,0.970495977,1.033202106,0.968799818
2009,Minnesota,1.010971787,1.011092356,1.005440404
2009,NY Mets,0.965525084,0.967084639,0.982207276
2009,NY Yankees,1.010007434,1.137545752,0.972151893
2009,Oakland,0.97297203,0.936891671,0.995660625
2009,Philadelphia,1.014584358,1.034154351,1.002308098
2009,Pittsburgh,0.996345255,0.964195402,1.006336094
2009,San Diego,0.890117787,0.876958073,0.947004345
2009,San Francisco,0.994224038,0.947833775,1.008880929
2009,Seattle,0.966111666,0.95195114,0.986570124
2009,St. Louis,0.962845877,0.886261058,1.000916696
2009,Tampa Bay,0.966534658,0.964428312,0.983670154
2009,Texas,1.054770807,1.09904568,1.015987714
2009,Toronto,0.985698967,1.028658462,0.981747848
2009,Washington,0.998158464,0.992185562,1.000599417
2010,Anaheim,0.948390347,0.937092947,0.976638788
2010,Arizona,1.049032164,1.037918495,1.026828506
2010,Atlanta,0.99867568,0.985344828,1.00254005
2010,Baltimore,1.039452154,1.121076481,1.000099303
2010,Boston,1.051298675,0.954711267,1.047734714
2010,Chicago Cubs,1.050281833,1.038154799,1.027673967
2010,Chicago Sox,1.059351224,1.193619768,0.997386999
2010,Cincinnati,1.014990388,1.106855663,0.985297888
2010,Cleveland,0.967504345,0.949704706,0.987959654
2010,Colorado,1.163852648,1.189002452,1.073199881
2010,Detroit,1.008742108,0.992098261,1.008338344
2010,Houston,0.965843348,1.040671972,0.964291396
2010,Kansas City,1.005340608,0.934134668,1.019599869
2010,Los Angeles,0.95535929,0.988282558,0.969291664
2010,Miami,1.013117917,0.939655172,1.02393677
2010,Milwaukee,1.001754906,1.087210363,0.980132113
2010,Minnesota,0.986958344,0.874124461,1.02040223
2010,NY Mets,0.950979647,0.908807038,0.985525576
2010,NY Yankees,1.052630523,1.157385834,1.001125957
2010,Oakland,0.973493188,0.900759694,1.004226608
2010,Philadelphia,1.017634221,1.052149851,1.000517609
